"Please enter a location","Renseignez un code postal, une ville"
"Radius","Rayon d'action"
"%s km away","%s km aux alentours"
"Launch search","Lancer la recherche"
"Filter by Tag: ","Trier par : "
"All stores","Tous les magasins"
"in a bound of %skm","dans un rayon de %skm"
"See this store information","Voir la fiche de ce magasin"
"See the store info","Voir la fiche"
"Choose this store","Définir comme favori"
"Reset search","Réinitialiser"
"This store propose %s","Ce magasin propose le %s"
"Buy online and get your order in your store","Achetez en ligne et retirez votre commande dans votre magasin"
"This store will propose soon %s","Ce magasin proposera prochainement le %s"
"check out online orders in store","retrait des commandes internet en magasin"
"Only for stores in metropolitan France","Uniquement pour les magasins situés en France métropolitaine"
"0 store","Aucun magasin"
"1 store","1 magasin"
" stores"," magasins"
"Phone","Téléphone"
"Opening hours","Horaires d'ouverture"
"Manage Stores","Gérer les magasins"
"Manage Holidays","Gérer les fermetures exceptionnelles"
"Manage Special Days","Gérer les ouvertures exceptionnelles"
"Holiday Manager","Fermetures exceptionnelles"
"Add Holiday","Ajouter une fermeture exceptionnelle"
"From Date","Début"
"To Date","Fin"
"Holiday Information","Information de fermeture"
"Special Day Manager","Ouvertures exceptionnelles"
"Add Special Day","Ajouter une ouverture exceptionnelle"
"Special Day Information","Information d'ouverture"
"Open Time","Heure d'ouverture"
"Close Time","Heure de fermeture"
"Shop Holidays","Fermeture exceptionnelle"
"the %s","le %s"
"Special Days","Ouverture exceptionnelle"
"from %s to %s","du %s au %s"
"time from %s to %s","de %s à %s"
"Yes","Oui"
"No","Non"
"Apply to other days","Appliquer aux autres jours"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Zoom Level","Niveau de zoom"
"Store Latitude","Latitude du magasin"
"Store Longitude","Longitude du magasin"
"Store Icon","Icône du magasin"
"Shown on Google Map<br/>Recommended size: 400x600 px. Supported format: jpeg, png, gif","Afficher sur Google Map<br />Taille recommandée : 400x600px. Format supportés : jpeg, png, gif"
"Renew Google Map","Rafraîchir Google Map"
"Reset the store location on Google Map when you change its address in the General Information tab.","Met à jour la localisation du magasin sur Google Map quand vous modifier l'adresse dans l'onglet ""Informations générales""."